work	n_chunks	median	p25	p75	title
SA_GV01_rv_hn04u	12	-1254	-1255	-1248	Ṛgveda: Maṇḍala 4
SA_GV01_rv_04_u	12	-1252	-1255	-1241	Ṛgveda 4
SA_GV01_rv_hn06u	16	-1250	-1256	-1239	Ṛgveda: Maṇḍala 6
SA_GV01_rv_hn05u	15	-1248	-1257	-1245	Ṛgveda: Maṇḍala 5
SA_GV01_rv_05_u	15	-1247	-1251	-1243	Ṛgveda 5
SA_GV01_rv_02_u	9	-1247	-1247	-1231	Ṛgveda 2
SA_GV01_rv_hn01u	41	-1246	-1252	-1240	Ṛgveda: Maṇḍala 1
SA_GV01_rv_hn09u	22	-1245	-1254	-1237	Ṛgveda: Maṇḍala 9
SA_GV01_rv_hn03u	12	-1243	-1247	-1240	Ṛgveda: Maṇḍala 3
SA_GV01_rv_07_u	16	-1242	-1254	-1230	Ṛgveda 7
SA_GV01_rvh1-10u	211	-1241	-1249	-1231	Ṛgveda
SA_GV01_rv_06_u	16	-1241	-1252	-1222	Ṛgveda 6
SA_GV01_rv_hn07u	17	-1239	-1251	-1232	Ṛgveda: Maṇḍala 7
SA_GV01_rv_03_u	12	-1239	-1247	-1234	Ṛgveda 3
SA_GV01_rv_09_u	22	-1238	-1248	-1222	Ṛgveda 9
SA_GV01_rv_hn10u	35	-1238	-1253	-1222	Ṛgveda: Maṇḍala 10
SA_GV01_rv_hn02u	9	-1237	-1243	-1234	Ṛgveda: Maṇḍala 2
SA_GV01_rv_10_u	35	-1235	-1243	-1222	Ṛgveda 10
SA_GV01_rv_hn08u	34	-1234	-1248	-1225	Ṛgveda: Maṇḍala 8
SA_GV01_rv_01_u	40	-1232	-1241	-1224	Ṛgveda 1
SA_GV00_samavedu	38	-1132	-1149	-1118	Sāmaveda-Saṃhitā
SA_GV00_avs___u	115	-1022	-1046	-997	Atharvaveda-Saṃhitā
SA_GV_syajurvedu	22	-1005	-1012	-994	Śukla-Yajurveda
SA_GV00_sa_paippalAdasaMhitA	298	-1000	-1012	-988	Paippalāda-Saṃhitā
SA_GV00_maitrs_pu	124	-999	-1016	-983	Maitrāyaṇī-Saṃhitā
SA_GV00_avs	60	-997	-1015	-987	Atharvaveda-Saṃhitā
SA_GV06_jaimigsu	6	-827	-921	-507	Jaimini-Gṛhyasūtra
SA_GV06_avpray_u	14	-820	-958	-696	Atharvaprāyaścittāni
SA_GV05_sirup_u	2	-812	-832	-793	Śira-Upaniṣad [Atharvaśira-Upaniṣad]
SA_GV02_pncvbr1u	47	-811	-821	-801	Pañcaviṃśabrāhmaṇa
SA_GV02_kausibru	94	-796	-810	-780	Kauṣītaki-Brāhmaṇa [Śāṅkhāyana-Brāhmaṇa]
SA_GV01_rvkhilau	15	-795	-809	-758	The Khila Verses of the Ṛgveda
SA_GV02_gopbra_u	57	-785	-798	-769	Gopathabrāhmaṇa
SA_GV02_gopthbru	8	-780	-786	-776	Gopatha-Brāhmaṇa
SA_GV04_sankharu	17	-753	-791	-698	Śāṅkhāyana-Āraṇyaka
SA_GV03_sb_13_u	14	-715	-741	-705	Śatapatha-Brāhmaṇa 13
SA_GV03_sb_02_u	23	-704	-718	-694	Śatapatha-Brāhmaṇa 2
SA_GV03_sb_03_u	34	-703	-710	-694	
SA_GV03_sb_09_u	17	-701	-705	-693	Śatapatha-Brāhmaṇa 9
SA_GV03_sb_11_u	14	-701	-708	-696	Śatapatha-Brāhmaṇa 11
SA_GV03_sb_14_u	25	-699	-708	-691	Śatapatha-Brāhmaṇa 14
SA_GV03_sb	111	-699	-706	-692	Śatapatha-Brāhmaṇa
SA_GV03_sb_06_u	23	-699	-706	-692	Śatapatha-Brāhmaṇa 6
SA_GV03_sb_01_u	33	-698	-708	-693	Śatapatha-Brāhmaṇa 1
SA_GV03_sb_08_u	20	-698	-705	-689	Śatapatha-Brāhmaṇa 8
SA_GV03_sb_04_u	27	-696	-702	-692	Śatapatha-Brāhmaṇa 4
SA_GV03_sb_07_u	18	-696	-702	-693	Śatapatha-Brāhmaṇa 7
SA_GV03_sb_10_u	13	-689	-700	-684	Śatapatha-Brāhmaṇa 10
SA_GV06_manavgsu	12	-661	-837	-534	Mānava-Gṛhyasūtra [Maitrāyaṇīyamānava-Gṛhyasūtra]
SA_GV05_brup___u	27	-621	-634	-611	Bṛhadāraṇyaka-Upaniṣad
SA_GV06_asvgs_u	9	-617	-649	-320	Āśvalāyana-Gṛhyasūtra
SA_GV05_chup	25	-605	-608	-598	Chāndogya-Upaniṣad
SA_GV05_chup___u	25	-605	-608	-598	Chāndogya-Upaniṣad
SA_GV05_chupsau	79	-600	-612	-591	Chāndogya-Upaniṣad (Śaṅkarabhāṣya)
SA_GV05_chupsb_u	79	-595	-606	-578	
SA_GV05_brupsb5u	9	-593	-603	-583	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 5
SA_GV05_brupsb6u	12	-590	-601	-585	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 6
SA_GV05_brupsb1u	40	-590	-601	-572	
SA_GV05_brupsb2u	23	-589	-604	-568	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 2
SA_K10_sf89_sc	1	-589	-589	-589	
SA_GV05_brupsb4u	30	-580	-594	-524	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 4
SA_GV06_kaussu_u	49	-577	-891	155	Kauśika-Sūtra
SA_GV05_brupsb3u	25	-557	-588	-515	Bṛhadāraṇyaka-Upaniṣad: Adhyāya 3
SA_GV05_aitup__u	2	-542	-555	-529	Aitareya-Upaniṣad
SA_T16_n2916u	1	-496	-496	-496	Svastyayanagāthā
SA_GV06_vaitss_u	23	-489	-803	-61	Vaitāna-Śrautasūtra [Vaitānasūtra]
SA_GV06_vargs_u	8	-488	-815	-126	Vārāha-Gṛhyasūtra
SA_GV05_isup___u	1	-482	-482	-482	Īśa-Upaniṣad [Īśāvāsyopaniṣad]
SA_GV05_mandup_u	1	-477	-477	-477	Māṇḍūkya-Upaniṣad
SA_GV05_aitupsbu	9	-443	-484	-438	Aitareya-Upaniṣad
SA_GP12_vd2127_u	1	-406	-406	-406	Viṣṇudharmottara-Purāṇa: Atharvavidhikathana [Atharvavidhāna]
SA_GV05_kathop_u	3	-346	-361	-343	Kaṭha-Upaniṣad
SA_GV05_isupsb_u	3	-275	-277	-238	Īśa-Upaniṣad [Īśāvāsyopaniṣad]
SA_GV05_svetugpu	3	-269	-291	-39	Śvetāśvatara-Upaniṣad
SA_GV05_svetu_pu	3	-250	-261	-207	Śvetāśvatara-Upaniṣad
SA_GV06_sankhssu	65	-229	-514	188	Śāṅkhāyana-Śrautasūtra
SA_GS38_kautil	87	-174	-198	-148	Arthaśāstra
SA_K10_udanav_u	23	-174	-534	-1	Udānavarga
SA_GV05_prasup_u	3	-159	-211	-158	Praśna-Upaniṣad
SA_GV06_rgvidh_u	14	-129	-429	244	Ṛgvidhāna
SA_GV05_prasupbu	10	-109	-150	-29	Praśna-Upaniṣad
SA_GV05_mand_upu	1	-42	-42	-42	Māṇḍūkya-Upaniṣad
SA_T07_dhrmsk_u	16	-28	-37	-15	Dharmaskandha
SA_K10_dvtasutu	1	9	9	9	Devatāsūtra
SA_T04_nagmmk_u	9	19	-105	100	Mūlamadhyamakakārikā
SA_GK21_karaka	92	32	-445	216	Kathāratnākara
SA_K01_vinv09_u	5	88	10	364	Kośāmbakavastu
SA_GR13_pasupspu	2	97	86	109	Pāśupatasūtra
SA_T04_bsa027_u	10	112	-140	397	Madhyamakaśāstra
SA_GSP33_brssbh4u	16	113	-208	439	Brahmasūtra: Adhyāya 4
SA_GV05_brbiuppu	1	117	117	117	Brahmabindu-Upaniṣad
SA_GSP33_brssbh1u	56	118	-357	519	Brahmasūtra: Adhyāya 1
SA_GK19_asvbc_1u	26	126	118	160	Buddhacarita
SA_GK19_asvsau2u	23	134	124	153	Saundarananda
SA_GK19_asvsaunu	22	138	112	155	Saundarananda
SA_GK19_asvbuc2u	21	139	121	184	Buddhacarita
SA_T04_nagvvy_u	2	141	-22	304	Vigrahavyāvartanīkārikā
SA_GSP33_brasusau	101	147	-234	564	Brahmasūtra (Śaṅkarabhāṣya)
SA_GR14_vaimp__u	79	147	-480	595	Vaikhānasamantrapraśna
SA_GSP28_jaimsutu	27	152	133	166	Mīmāṃsāsūtra
SA_T06_asycsaru	2	153	49	258	Śarīrārthagāthā
SA_K14_dhppat_u	17	153	-20	363	Patna Dharmapada
SA_GSP33_brssbh3u	38	155	-199	555	Brahmasūtra: Adhyāya 3
SA_GSD37_vasist_u	22	158	34	307	Vāsiṣṭadharmasūtra
SA_T07_n772u	27	162	153	174	Abhidharmāmṛta
SA_T11_bsa020_u	1	172	172	172	Vajrasūcī
SA_T02_bsa045_u	1	179	179	179	Gurupañcāśikā
SA_K01_bhivin_u	80	186	-118	353	Bhikṣuṇīvinaya
SA_K01_abhisdhu	76	194	-122	468	Abhisamācārikadharma
SA_GS24_pmbhasuu	281	201	191	216	Vyākaraṇamahābhāṣya [Mahābhāṣya]
SA_GSD37_baudhd_u	25	208	-20	465	Baudhāyana-śrautasūtra TODO: This is mislabeled! Wrong ID
SA_K10_sf284_sc	1	217	217	217	
SA_T13_n929u	24	218	151	341	Saundarananda Mahākāvya
SA_T01_n896u	1	219	219	219	Dharmadhātuvāgīśvaramaṇḍalastotra
SA_GSP34_yogasutu	3	221	211	244	Yogasūtra
SA_GK17_chandovu	3	221	220	232	Chandoviciti
SA_GSD37_apastd_u	17	230	101	337	Āpastamba-Dharmasūtra
SA_GSP34_yogsubhu	9	231	222	335	Yogasūtra
SA_T04_bsa028_u	1	232	232	232	Catuḥśatikā
SA_GSP34_patyogbu	16	233	217	260	Yogasūtra with Bhāṣya
SA_T06_srabhu_u	74	237	229	247	Yogācārabhūmi: Śrāvakabhūmi
SA_K01_vinv12_u	6	239	-90	485	Pudgalavastu
SA_T06_srabhusu	118	243	231	253	Yogācārabhūmi: Śrāvakabhūmi
SA_MB_pranagnihotraHK	2	248	36	460	Unknown: prāṇāgnihotra
SA_K01_vinv05_u	12	258	104	422	Carmavastu
SA_K01_prmosufu	2	260	246	274	Prātimokṣasūtra
SA_K01_vinv10_u	4	260	162	361	Karmavastu
SA_K01_n742u	82	260	20	416	Bhikṣuṇīvinaya
SA_GSD37_vaikhd_u	6	265	213	370	Vaikhānasa Dharmasūtra 1–3 [Vaikhānasa Smārtasūtra 8-10]
SA_T02_bsa048_u	5	265	264	290	Caryāmelāvaṇapradīpa
SA_K14_sf259_sc	7	270	224	297	
SA_T05_bsu027_u	1	271	271	271	Pratītyasamutpādādivibhaṅganirdeśasūtra
SA_T06_bsa034	78	275	260	291	Bodhisattvabhūmi
SA_K14_mavadsuu	11	276	215	383	Mahāvadānasūtra
SA_K14_sf273_sc	1	278	278	278	
SA_GV05_ndbiuppu	1	280	280	280	Nādabindu-Upaniṣad
SA_K10_sf101_sc	1	287	287	287	
SA_K10_mahama_u	2	289	286	291	Mahāmantrānusāriṇī
SA_K10_sf280_sc	1	290	290	290	
SA_T04_bsa013_u	1	292	292	292	Pratītyasamutpādahṛdayavyākhyāna
SA_T04_bsa021_u	2	294	174	414	Vigrahavyāvartanī
SA_GV06_asvss_u	70	295	-229	642	Āśvalāyana-Śrautasūtra
SA_K14_n285u	1	297	297	297	Catuṣpariṣatsūtra
SA_GSD36_manu2p_u	54	298	177	374	
SA_GSP32_vaisessu	4	301	298	463	Vaiśeṣikasūtra
SA_T01_n898u	1	302	302	302	Vajrapāṇināmāṣṭottaraśatastotra
SA_T07_hvsatssu	200	302	290	314	Satyasiddhiśāstra [Tattvasiddhiśāstra]
SA_GS40_susruta	181	306	297	320	Suśrutasaṃhitā
SA_GK20_bhassv_u	17	308	302	317	Svapnavāsavadatta
SA_GK18_bharnatu	92	309	297	330	Nāṭyaśāstra
SA_K01_vinv16_u	17	309	239	458	Adhikaraṇavastu
SA_K01_bsa068_u	4	312	228	387	K01bsa068_u
SA_T10_nrat_2_u	1	313	313	313	Ratnāvalī [Ratnamālā] 2
SA_T01_n805u	1	315	315	315	Ākāśagarbhanāmāṣṭottaraśatastotra
SA_T06_sambhu	15	318	281	347	Yogācārabhūmi: Samāhitā Bhūmi
SA_T17_matpra_u	3	321	307	344	Prasādapratibhodhava [Śatapañcāśatka]
SA_K10_divav33u	42	322	188	401	Śārdūlakarṇāvadāna
SA_K01_vinv14_u	3	322	245	443	Poṣadhasthāpanavastu
SA_T10_n3009u	1	326	326	326	Vimalaratnalekha
SA_T02_bsa006_u	3	326	310	620	Cittaviśuddhiprakaraṇa
SA_T01_n893u	1	329	329	329	Caṇḍikādaṇḍakastotra
SA_T17_bsa007_u	11	330	287	364	Dharmasaṃgraha
SA_GSP28_shabara	95	331	188	405	Mīmāṃsāsūtra Shabara-Bhāṣya
SA_K10_sf258_sc	1	331	331	331	
SA_GV06_sankhgsu	13	334	-16	410	Śāṅkhāyana-Gṛhyasūtra
SA_K01_vinv11_u	10	335	32	455	Pāṇḍulohitakavastu
SA_K01_prmosubu	10	336	298	456	Prātimokṣasūtra
SA_T01_n818u	1	336	336	336	Avalokiteśvarāṣṭottaraśatanāmastotra
SA_K01_prmosu_u	8	337	220	592	Prātimokṣasūtra
SA_K10_sf107_sc	5	337	277	401	
SA_K10_nidansyu	15	338	237	401	Nidānasaṃyukta
SA_GK20_bhasdutu	6	338	329	343	Dūtavākya
SA_GS25_amark1pu	6	339	321	349	Nāmaliṅgānuśāsana [Amarakoṣa, Amarakośa], Kāṇḍa 1
SA_T07_nagdhdbu	1	344	344	344	Dharmadhātugarbhavivaraṇa
SA_K14_mpsu_w_u	39	346	251	462	Mahāparinirvāṇasūtra
SA_GP12_brndp1_u	77	347	146	421	Brahmāṇḍa-Purāṇa 1
SA_T04_n847u	1	347	347	347	Madhyamakaśāstrastuti
SA_K10_sf137_sc	1	347	347	347	
SA_K12_vajvidhu	1	349	349	349	Vajravidāraṇī-dhāraṇī
SA_K10_bsu005_u	11	352	236	452	Arthaviniścayasūtra
SA_K10_mkarmviu	11	355	335	463	Mahākarmavibhaṅga
SA_GS25_amark3_u	11	355	354	367	Nāmaliṅgānuśāsana [Amarakoṣa, Amarakośa], Kāṇḍa 3
SA_K01_vinv171u	80	355	228	427	Saṅghabhedavastu 1
SA_GS25_amark2_u	15	356	347	376	Nāmaliṅgānuśāsana [Amarakoṣa, Amarakośa], Kāṇḍa 2
SA_T01_n832u	2	356	292	419	Daśabhūmīśvaro nāma mahāyānasūtraratnarājastotra
SA_GSP28_sabbha1u	8	357	287	404	Mīmāṃsāsūtrabhāṣya
SA_T01_n850u	1	357	357	357	Mahācakravartināmāṣṭottaraśatastotra
SA_K10_sf253_sc	6	359	301	426	
SA_T02_n3006u	4	359	275	507	Boudhatantrokta Siddhauṣadhi Saṅgraha
SA_K01_vinv07_u	42	360	142	444	Cīvaravastu
SA_K10_n260u	11	360	303	431	Arthaviniścayasūtra
SA_T06_n1394u	56	361	353	377	Yogācārabhūmi
SA_GSD36_narads_u	19	363	314	407	Nāradasmṛti
SA_T06_ybh-laukikamarga	3	363	290	368	Yogācārabhūmi: Laukikamarga
SA_K10_bsu006_u	5	364	353	395	Ajitasenavyākaraṇa
SA_T04_bsa014_u	1	364	364	364	Śikṣāsamuccayakārikā
SA_GSD36_yssoutpu	3	366	320	415	Yamasmṛti
SA_T06_asabhs_u	36	366	353	375	Abhidharmasamuccaya
SA_K10_dbsu1-4u	3	371	347	388	Daśabalasūtra
SA_GV05_agsas_1u	6	372	-129	763	Āgamaśāstra 1: Āgamaprakaraṇa
SA_K01_vinv06_u	70	375	280	497	Bhaiṣajyavastu
SA_MB_candrajnanaHK	3	376	369	381	Unknown: candrajñānāgama
SA_GSP31_iskgaudu	11	377	321	488	Sāṃkhyakārikā [Sāṃkhyasaptati]
SA_K01_vinv08_u	4	379	346	421	Kaṭhinavastu
SA_T07_vakobha9	7	380	372	391	Abhidharmakośabhāṣya Chapter 9
SA_T04_bsa042_u	1	381	381	381	Gurukriyākrama
SA_K07_atrisatu	2	381	379	383	Triśatikāyāḥ prajñāpāramitāyāḥ kārikāsaptatiḥ [Vajracchedikāprajñāpāramitāsūtraśāstrakārikā]
SA_T06_-ybh-klesa	2	383	361	405	
SA_GS39_kamasutu	27	383	366	396	Kāmasūtra
SA_GE07_mbh_12_u	344	385	257	465	Mahābhārata: Śāntiparvan
SA_K10_ekottaru	11	386	202	584	Ekottarāgama [Ekottarāgamasūtra]
SA_GK20_mmatvipu	9	387	363	469	Mattavilāsaprahasana
SA_T01_n821u	1	387	387	387	Lokeśvarastotra
SA_GSP31_iskamatu	25	388	363	418	Sāṃkhyakārikā [Sāṃkhyasaptati]
SA_T07_vakobhau	159	389	371	415	Abhidharmakośabhāṣya
SA_K14_sumagavu	9	390	329	425	Sumāgadhāvadāna
SA_T13_n2976u	1	391	391	391	Saṅgītamālikā
SA_K02_sspp2_3u	94	392	267	510	Śatasāhasrikā Prajñāpāramitā II-3 [Śatasāhasrikāprajñāpāramitāsūtra]
SA_T04_nagvigvu	8	395	304	507	Vigrahavyāvartanī
SA_GS39_kamasufu	30	396	381	413	Kāmasūtra
SA_T04_vasbocpu	10	397	394	404	Bodhicittotpādasūtraśāstra
SA_K10_bsu039_u	1	397	397	397	Triskandhasūtra
SA_K01_n2954u	6	398	139	474	Upasampadājñapti
SA_K10_n2942u	20	398	326	484	Saddharmasmṛtyupasthānasūtra
SA_T06_bsa065	5	398	366	400	Pañcaskandhaprakaraṇa
SA_K10_bsu031	4	401	386	410	Śālistambasūtra
SA_K10_uvs_sc	16	402	147	497	
SA_K01_vinv15_u	20	402	326	454	Śayanāsanavastu
SA_T04_bsa040_u	2	403	360	445	Cittotpādasaṃvaravidhikrama
SA_K01_prmosulu	12	403	205	588	Prātimokṣasūtra
SA_T06_vmvkbh_u	14	405	389	411	Madhyāntavibhāgabhāṣya [Madhyāntavibhāgakārikābhāṣya]
SA_K10_bsu023_u	4	406	388	516	Madhyamakaśālistambasūtra
SA_T06_bsa019_u	1	407	407	407	Trisvabhāvanirdeśa
SA_K05_dsp1-2_u	11	407	291	553	Daśasāhasrikā Prajñāpāramitā
SA_K01_n2853u	20	407	353	504	Śayanāsanavastu
SA_K10_divyav_u	227	408	312	499	Divyāvadāna
SA_GV06_keskaupu	149	408	287	555	Kauśikapaddhati
SA_T06_vasvvmsu	3	408	402	431	Viṃśatikā vijñaptimātratāsiddhi [Viṃśikāvṛtti]
SA_MB_nirvanayogottaraHK	2	411	346	475	Unknown: nirvāṇayogottara
SA_GSP34_yogasubha	7	414	384	439	Yogasūtrabhāṣya
SA_GSP29_nysvbh1u	60	415	355	570	Nyāyasūtra + Bhāṣya
SA_T06_n2994u	10	415	396	472	Mahāyānasaṃgraha
SA_K10_sf140_sc	3	416	396	550	Vimalakīrtinirdeśasūtra [Vimalakīrtinirdeśa]
SA_K10_sf279_sc	1	417	417	417	
SA_K10_bsu009_u	2	417	392	442	Maitreyavyākaraṇa [Maitreyavyākaraṇasūtra]
SA_GSD36_pars2_pu	12	418	318	459	Parāśaradharmasaṃhitā [Parāśarasmṛti]: Kāṇḍas 1 & 2
SA_K01_upsmpjnu	5	418	396	534	Upasaṃpadājñapti
SA_GS41_lagrvvju	1	418	418	418	Ṛgvedavedāṅgajyotiṣa
SA_K14_msudarsu	3	418	244	438	Mahāsudarśanāvadāna
SA_K02_sspp2_4u	108	419	338	542	Śatasāhasrikā Prajñāpāramitā II-4 [Śatasāhasrikāprajñāpāramitāsūtra]
SA_K10_divav29u	26	419	321	529	Aśokāvadāna
SA_GSD36_visnu	29	419	357	496	Viṣṇusmṛti
SA_T11_n634u	3	420	383	597	Nyāyapraveśakasūtra
SA_T07_vakobhk	13	421	401	434	Abhidharmakośakārikā
SA_K10_sf277_sc	1	422	422	422	
SA_T01_n904u	1	422	422	422	Kalyāṇatriṃśatikāstotra
SA_K01_bsu046_u	9	425	181	595	Prātimokṣasūtra
SA_K14_ajitsvyu	7	427	410	506	Ajitasenavyākaraṇa
SA_GE07_mbh_05_u	158	427	267	526	Mahābhārata: Udyogaparvan
SA_K14_mhvastuu	267	427	321	524	Mahāvastu-avadāna
SA_K12_bsu003_u	1	427	427	427	Aparimitāyuḥsūtra
SA_K01_vinv03_u	6	429	274	613	Pravāraṇāvastu
SA_GK20_hpriydpu	18	431	346	481	Priyadarśikā
SA_K01_vinv02_u	12	433	355	453	Poṣadhavastu
SA_GE07_mbh_13_u	267	434	328	533	Mahābhārata: Anuśāsanaparvan
SA_MB_brahmasandhanaHK	10	435	400	469	Unknown: brahmasandhāna
SA_K12_n259u	1	435	435	435	Aparimitāyunāmamahāyānasūtra
SA_K10_avsata_u	124	435	380	492	Avadānaśataka
SA_GE07_mbh_14_u	98	436	350	523	Mahābhārata: Aśvamedhikaparvan
SA_T01_n879u	1	436	436	436	Śākyasiṃhastotra: yaśodharākṛtam
SA_K01_vinv172u	98	436	320	522	Saṅghabhedavastu 2
SA_K12X_bsu017_u	1	438	438	438	Hayagrīvavidyā
SA_K12_Āgama_Mañjuśrīnāmasaṃgīti_Mukherji_1963	9	439	403	474	
SA_K10_jnalokau	14	440	398	590	Jñānālokālaṃkāra sūtra [Sarvabuddhaviṣayāvatārajñānālokālaṃkāra nāma mahāyānasūtra, Sarvabuddhaviṣayāvatārajñānalokālaṃkārasūtra]
SA_GK19_kmeghdpu	3	440	438	446	Meghadūta
SA_GK20_hdratn_u	18	441	346	508	Ratnāvalīnāṭikā
SA_K06_bsu053_u	1	443	443	443	Prajñāpāramitāhṛdayasūtra
SA_T06_abhsubhu	46	444	369	510	Abhidharmasamuccayabhāṣya
SA_GK19_amaru_u	12	447	420	476	Amaruśataka
SA_GK20_ksakunpu	25	448	441	458	Abhijñānaśākuntala
SA_GK19_kmeghvpu	3	449	448	454	Meghadūta
SA_K12_Āgama-Jayasena_Ḍākārṇavatantra-15-Ratnapadmarāganidhi_Sugiki_2022	44	451	278	552	
SA_K14_n3013u	63	451	337	547	
SA_GK19_ragh	10	452	445	457	Raghuvaṃśa
SA_GK19_ragh1-6u	10	452	445	457	Raghuvaṃśa
SA_GE07_mbh_10_u	18	453	391	572	Mahābhārata: Sauptikaparvan
SA_K01_bhikavau	7	454	343	614	Bhikṣuṇī-Karmavācanā
SA_GE09_ram_04_u	42	455	397	525	Rāmāyaṇa: 4. Kiṣkindhākāṇḍa
SA_GE09_ram_02su	65	455	360	535	Rāmāyaṇa: 2. Ayodhyākāṇḍa
SA_MB_sukavakyaHK	3	458	402	688	Unknown: śukavākya
SA_T01_n911u	1	460	460	460	Vasudhārānāmadhāraṇīstotra
SA_T06_bsa018	1	460	460	460	Triṃśikāvijñaptikārikā [Triṃśikākārikā]
SA_K10_n443u	3	460	425	575	Mahāmeghasūtra
SA_T06_asmahsbu	58	461	409	589	Mahāyānasūtrālaṅkāra
SA_GK19_ksyadndu	1	462	462	462	Śyāmalādaṇḍaka
SA_K12_manjnspu	3	463	407	511	Mañjuśrīnāmasaṃgīti
SA_GP12_vipce_pu	126	463	451	477	Viṣṇu-Purāṇa
SA_GSP34_patyog_u	2	464	336	592	Yogasūtra
SA_K05_bsu049_u	118	464	356	592	Aṣṭasāhasrikā Prajñāpāramitā [Aṣṭasāhasrikāprajñāpāramitāsūtra]
SA_T02_Anupamarakṣita_Ṣaḍaṇgayoga-with-Guṇabharaṇī_Sferra_2000	34	464	314	742	
SA_T17_n996u	23	464	405	551	Mahāvyutpatti
SA_K12_dhvajkeu	1	465	465	465	Dhvajāgrakeyurā-dhāraṇī
