earlier_work	later_work	earlier_title	later_title	base
SA_T06_asabhs_u	SA_T06_abhsubhu	Abhidharmasamuccaya	Abhidharmasamuccayabhāṣya	abhidharmasamuccaya
SA_T06_bsa010_u	SA_T06_sthmavt	Madhyāntavibhāgakārikā	Madhyāntavibhāgaṭīkā	madhyantavibhaga
SA_T07_vakobhk	SA_T07_vakobhau	Abhidharmakośakārikā	Abhidharmakośabhāṣya	abhidharmakosa
SA_GE07_bhg4c01u	SA_GSP33_bhgsbh	Bhagavadgītā 1	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c01u	SA_GSP33_ramgbhpu	Bhagavadgītā 1	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c02u	SA_GSP33_bhgsbh	Bhagavadgītā 2	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c02u	SA_GSP33_ramgbhpu	Bhagavadgītā 2	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c03u	SA_GSP33_bhgsbh	Bhagavadgītā 3	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c03u	SA_GSP33_ramgbhpu	Bhagavadgītā 3	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c04u	SA_GSP33_bhgsbh	Bhagavadgītā 4	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c04u	SA_GSP33_ramgbhpu	Bhagavadgītā 4	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c05u	SA_GSP33_bhgsbh	Bhagavadgītā 5	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c05u	SA_GSP33_ramgbhpu	Bhagavadgītā 5	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c06u	SA_GSP33_bhgsbh	Bhagavadgītā 6	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c06u	SA_GSP33_ramgbhpu	Bhagavadgītā 6	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c07u	SA_GSP33_bhgsbh	Bhagavadgītā 7	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c07u	SA_GSP33_ramgbhpu	Bhagavadgītā 7	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c08u	SA_GSP33_bhgsbh	Bhagavadgītā 8	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c08u	SA_GSP33_ramgbhpu	Bhagavadgītā 8	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c09u	SA_GSP33_bhgsbh	Bhagavadgītā 9	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c09u	SA_GSP33_ramgbhpu	Bhagavadgītā 9	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c10u	SA_GSP33_bhgsbh	Bhagavadgītā 10	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c10u	SA_GSP33_ramgbhpu	Bhagavadgītā 10	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c11u	SA_GSP33_bhgsbh	Bhagavadgītā 11	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c11u	SA_GSP33_ramgbhpu	Bhagavadgītā 11	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c12u	SA_GSP33_bhgsbh	Bhagavadgītā 12	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c12u	SA_GSP33_ramgbhpu	Bhagavadgītā 12	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c14u	SA_GSP33_bhgsbh	Bhagavadgītā 14	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c14u	SA_GSP33_ramgbhpu	Bhagavadgītā 14	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c15u	SA_GSP33_bhgsbh	Bhagavadgītā 15	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c15u	SA_GSP33_ramgbhpu	Bhagavadgītā 15	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c16u	SA_GSP33_bhgsbh	Bhagavadgītā 16	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c16u	SA_GSP33_ramgbhpu	Bhagavadgītā 16	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c17u	SA_GSP33_bhgsbh	Bhagavadgītā 17	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c17u	SA_GSP33_ramgbhpu	Bhagavadgītā 17	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c18u	SA_GSP33_bhgsbh	Bhagavadgītā 18	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhg4c18u	SA_GSP33_ramgbhpu	Bhagavadgītā 18	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhgce__u	SA_GSP33_bhgsbh	Bhagavadgītā	Bhagavadgītābhāṣya	bhagavadgita
SA_GE07_bhgce__u	SA_GSP33_ramgbhpu	Bhagavadgītā	Bhagavadgītābhāṣya	bhagavadgita
SA_GSP27_moksop_u	SA_GSP35_sa_bhAskarakaNTha-mokSopAyaTIkA	Mokṣopāya	Mokṣopāyaṭīkā	moksopaya
SA_GSP35_sa_mokSopAya	SA_GSP35_sa_bhAskarakaNTha-mokSopAyaTIkA	Mokṣopāya	Mokṣopāyaṭīkā	moksopaya
SA_GSP30_partr_pu	SA_GSP30_partrvpu	Parātriṃśikā	Parātriṃśikāvivaraṇa	paratrimsika
SA_K10_bsu010_u	SA_T04_bsa058_u	Bhavasaṅkrāntisūtra	Bhavasaṅkrāntiṭīkā	bhavasankranti
SA_T11_bsa071_u	SA_T11_arhebt_u	Hetubindu	Hetubinduṭīkā	hetubindu
SA_T11_bsa071_u	SA_T11_arhebt2u	Hetubindu	Hetubinduṭīkā	hetubindu
SA_T11_dhkhetuu	SA_T11_arhebt_u	Hetubindu	Hetubinduṭīkā	hetubindu
SA_T11_dhkhetuu	SA_T11_arhebt2u	Hetubindu	Hetubinduṭīkā	hetubindu
SA_T11_bsa059_u	SA_T11_bsa061_u	Santānāntarasiddhi	Santānāntarasiddhiṭīkā	santanantarasiddhi
SA_T11_bsa064_u	SA_T11_n1226u	Vādanyāya	Vādanyāyaṭīkā	vadanyaya
SA_T11_dhkvadnu	SA_T11_n1226u	Vādanyāya	Vādanyāyaṭīkā	vadanyaya
SA_T11_bsa072_u	SA_T16_n1289u	Tarkabhāṣā	Tarkabhāṣāṭīkā	tarkabhasa
SA_MB_tararahasyaHK	SA_MB_Tararahasyavrtti2HK	brahmānanda: tārārahasya	brahmānanda: tārārahasyavṛtti 2	brahmanandatararahasya
